step,datetime,actual_mw,static_prediction,dynamic_prediction,inline_prediction,static_rolling_mae,dynamic_rolling_mae,inline_rolling_mae,static_error,dynamic_error,inline_error,dynamic_retrain_count,dynamic_drift_active,inline_retrain_count,inline_drift_active,inline_retraining_in_progress
0,2019-01-01 00:00:00,24677.57,,,,,,,,,,0,False,0,False,
1,2019-01-01 01:00:00,23581.475,,,,,,,,,,0,False,0,False,
2,2019-01-01 02:00:00,22656.229,,,,,,,,,,0,False,0,False,
3,2019-01-01 03:00:00,22116.84,,,,,,,,,,0,False,0,False,
4,2019-01-01 04:00:00,21939.76,,,,,,,,,,0,False,0,False,
5,2019-01-01 05:00:00,22265.962,,,,,,,,,,0,False,0,False,
6,2019-01-01 06:00:00,22715.827,,,,,,,,,,0,False,0,False,
7,2019-01-01 07:00:00,23008.334,,,,,,,,,,0,False,0,False,
8,2019-01-01 08:00:00,23380.44,,,,,,,,,,0,False,0,False,
9,2019-01-01 09:00:00,24340.3,,,,,,,,,,0,False,0,False,
10,2019-01-01 10:00:00,25154.563,,,,,,,,,,0,False,0,False,
11,2019-01-01 11:00:00,25551.218,,,,,,,,,,0,False,0,False,
12,2019-01-01 12:00:00,25310.909,,,,,,,,,,0,False,0,False,
13,2019-01-01 13:00:00,25262.154,,,,,,,,,,0,False,0,False,
14,2019-01-01 14:00:00,25532.531,,,,,,,,,,0,False,0,False,
15,2019-01-01 15:00:00,26000.442000000003,,,,,,,,,,0,False,0,False,
16,2019-01-01 16:00:00,27371.061,,,,,,,,,,0,False,0,False,
17,2019-01-01 17:00:00,29820.013,,,,,,,,,,0,False,0,False,
18,2019-01-01 18:00:00,29960.035,,,,,,,,,,0,False,0,False,
19,2019-01-01 19:00:00,29683.923000000003,,,,,,,,,,0,False,0,False,
20,2019-01-01 20:00:00,29134.887,,,,,,,,,,0,False,0,False,
21,2019-01-01 21:00:00,28095.27,,,,,,,,,,0,False,0,False,
22,2019-01-01 22:00:00,26608.212,,,,,,,,,,0,False,0,False,
23,2019-01-01 23:00:00,25113.198,,,,,,,,,,0,False,0,False,
24,2019-01-02 00:00:00,24130.384,,,,,,,,,,0,False,0,False,
25,2019-01-02 01:00:00,23621.535,,,,,,,,,,0,False,0,False,
26,2019-01-02 02:00:00,23581.891,,,,,,,,,,0,False,0,False,
27,2019-01-02 03:00:00,23951.436,,,,,,,,,,0,False,0,False,
28,2019-01-02 04:00:00,24877.046,,,,,,,,,,0,False,0,False,
29,2019-01-02 05:00:00,27093.254,,,,,,,,,,0,False,0,False,
30,2019-01-02 06:00:00,30109.481,,,,,,,,,,0,False,0,False,
31,2019-01-02 07:00:00,31878.486,,,,,,,,,,0,False,0,False,
32,2019-01-02 08:00:00,31990.997000000003,,,,,,,,,,0,False,0,False,
33,2019-01-02 09:00:00,31782.36,,,,,,,,,,0,False,0,False,
34,2019-01-02 10:00:00,31592.376,,,,,,,,,,0,False,0,False,
35,2019-01-02 11:00:00,31323.112,,,,,,,,,,0,False,0,False,
36,2019-01-02 12:00:00,31043.556,,,,,,,,,,0,False,0,False,
37,2019-01-02 13:00:00,31140.527,,,,,,,,,,0,False,0,False,
38,2019-01-02 14:00:00,31161.64,,,,,,,,,,0,False,0,False,
39,2019-01-02 15:00:00,31652.072,,,,,,,,,,0,False,0,False,
40,2019-01-02 16:00:00,32988.706999999995,,,,,,,,,,0,False,0,False,
41,2019-01-02 17:00:00,34880.057,,,,,,,,,,0,False,0,False,
42,2019-01-02 18:00:00,34728.989,,,,,,,,,,0,False,0,False,
43,2019-01-02 19:00:00,34142.529,,,,,,,,,,0,False,0,False,
44,2019-01-02 20:00:00,33277.248,,,,,,,,,,0,False,0,False,
45,2019-01-02 21:00:00,31632.688,,,,,,,,,,0,False,0,False,
46,2019-01-02 22:00:00,29512.778,,,,,,,,,,0,False,0,False,
47,2019-01-02 23:00:00,27491.467,,,,,,,,,,0,False,0,False,
48,2019-01-03 00:00:00,26029.273,,,,,,,,,,0,False,0,False,
49,2019-01-03 01:00:00,25223.03,,,,,,,,,,0,False,0,False,
50,2019-01-03 02:00:00,24841.962,,,,,,,,,,0,False,0,False,
51,2019-01-03 03:00:00,24810.149,,,,,,,,,,0,False,0,False,
52,2019-01-03 04:00:00,25510.84,,,,,,,,,,0,False,0,False,
53,2019-01-03 05:00:00,27268.326,,,,,,,,,,0,False,0,False,
54,2019-01-03 06:00:00,30063.120000000003,,,,,,,,,,0,False,0,False,
55,2019-01-03 07:00:00,31678.291,,,,,,,,,,0,False,0,False,
56,2019-01-03 08:00:00,31645.096,,,,,,,,,,0,False,0,False,
57,2019-01-03 09:00:00,31447.817000000003,,,,,,,,,,0,False,0,False,
58,2019-01-03 10:00:00,31236.978,,,,,,,,,,0,False,0,False,
